City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
katsuura,35.1521846,140.3207449,,,,,,
bredasdorp,-34.533055,20.042778,,,,,,
baherden,38.4259972,57.429268303456624,,,,,,
margate,46.4557146,-63.5780151322165,,,,,,
maldonado,-34.9087162,-54.9582718,,,,,,
vanimo,-2.6847646,141.3009131,,,,,,
hami,42.817404,93.5142008,,,,,,
jamestown,-15.9277296,-5.7160872,,,,,,
dikson,73.5083894,80.5123816,,,,,,
senno,57.762169,27.949108,,,,,,
nikolskoye,59.7034799,30.7861084,,,,,,
rikitea,-23.1229544,-134.9680141,,,,,,
nishihara,26.227791,127.76054,,,,,,
barcelos,41.5314496,-8.6192306,,,,,,
hermanus,-34.4175,19.2361111,,,,,,
taolanaro,No found,No found,,,,,,
oktyabrskoye,52.345226,55.507576,,,,,,
jeremoabo,-10.0754917,-38.3476326,,,,,,
nieuw amsterdam,40.7127281,-74.0060152,,,,,,
torbay,-34.988538500000004,117.64655262347733,,,,,,
pueblo rico,5.2215828,-76.0302092,,,,,,
rocha,-34.4810095,-54.3365608,,,,,,
sur,37.9110723,40.2366499,,,,,,
punta arenas,-53.1625688,-70.907822,,,,,,
biak,-0.9131174,122.8765606,,,,,,
vanavara,60.345203,102.28093,,,,,,
lebu,-37.6099644,-73.6559477,,,,,,
bambous virieux,-20.3439274,57.7637829,,,,,,
busselton,-33.644499,115.3488754,,,,,,
tenkodogo,11.7828079,-0.3651416,,,,,,
ngunguru,-35.6333633,174.5007751,,,,,,
port alfred,-34.60076,137.89558,,,,,,
anadyr,64.7316875,177.5060925,,,,,,
lorengau,-2.0329567,147.2789185,,,,,,
tuktoyaktuk,69.4440189,-133.031904,,,,,,
kaitangata,-46.2817388,169.8464139,,,,,,
butaritari,2.9205375,172.91886331442205,,,,,,
san-pedro,9.39663005,-75.03354633922669,,,,,,
fortuna,40.597407,-124.156034,,,,,,
moerai,-22.4513512,-151.3422359,,,,,,
coquimbo,-29.9531928,-71.3379884,,,,,,
georgetown,30.6326942,-97.6772311,,,,,,
ushuaia,-54.8069332,-68.3073246,,,,,,
meulaboh,4.1481951,96.1339107,,,,,,
sentyabrskiy,45.27767,148.50263,,,,,,
portland,-38.3456231,141.6042304,,,,,,
fevralsk,52.45705,130.852829,,,,,,
khatanga,71.9819205,102.4714765,,,,,,
cabedelo,-6.97324,-34.8351609,,,,,,
vaini,15.3359801,74.4925991,,,,,,
zhigansk,66.76564,123.3741,,,,,,
arraial do cabo,-22.9662839,-42.024427,,,,,,
berlin,52.5170365,13.3888599,,,,,,
mataura,-46.192734,168.8642685,,,,,,
albany,-35.0247822,117.883608,,,,,,
kodiak,57.79,-152.4072222,,,,,,
chokurdakh,70.6193824,147.902397,,,,,,
lompoc,34.6391501,-120.4579409,,,,,,
hvalso,55.5953424,11.8592384,,,,,,
saskylakh,71.9649533,114.0939433,,,,,,
sao joao da barra,-21.6348588,-41.0487079,,,,,,
dedza,-14.3807275,34.3282385,,,,,,
mogadishu,2.0349312,45.3419183,,,,,,
palabuhanratu,-6.9882409,106.5503728,,,,,,
belaya gora,68.53701,146.187286,,,,,,
upernavik,72.7847392,-56.1469625,,,,,,
kapaa,22.0833399,-159.34635231502904,,,,,,
sibenik,45.8121186,17.1834889,,,,,,
east london,-33.0191604,27.8998573,,,,,,
qaanaaq,77.4686357,-69.2222746,,,,,,
cape town,-33.928992,18.417396,,,,,,
hasaki,35.7529706,140.8201321,,,,,,
saint-philippe,45.3583776,-73.4783036,,,,,,
souillac,44.8980172,1.46943,,,,,,
atuona,-9.8037347,-139.0425737,,,,,,
pangnirtung,66.1480197,-65.7172826,,,,,,
barentsburg,78.065362,14.2172367,,,,,,
flinders,-40.390972500000004,148.21659240585,,,,,,
castro,45.802987,10.06706,,,,,,
agua verde,32.0401127,-110.6236768,,,,,,
tautira,-17.7488905,-149.1691058,,,,,,
saint george,44.0164709,-69.1989341,,,,,,
guerrero negro,27.9709506,-114.036389,,,,,,
charters towers,-20.0714089,146.2709824,,,,,,
tuy hoa,46.6520483,126.9607485,,,,,,
griffith,-34.2870772,146.0551022,,,,,,
muros,42.7744106,-9.0575351,,,,,,
aklavik,68.2182579,-135.013585,,,,,,
shimoda,34.679545,138.945379,,,,,,
grand river south east,-20.286609,57.779994,,,,,,
luziania,-16.2535456,-47.9500276,,,,,,
srednekolymsk,67.455497,153.7071456,,,,,,
christchurch,-43.530955,172.6366455,,,,,,
avarua,-21.2074736,-159.7708145,,,,,,
vardo,43.95995,4.297637002377168,,,,,,
vadso,70.22671985,29.78277929931153,,,,,,
zhezkazgan,47.7964459,67.70618078166055,,,,,,
wahran,35.62158615,-0.7016142676845641,,,,,,
nome,64.5011111,-165.4063889,,,,,,
vila,11.9914269,-2.1125186,,,,,,
vila velha,-20.3297037,-40.2920174,,,,,,
ancud,-41.8682162,-73.8287225,,,,,,
geraldton,-28.77035,114.6147159,,,,,,
nyurba,63.286648,118.354149,,,,,,
hilo,33.3617849,-92.2726421,,,,,,
tuatapere,-46.1323096,167.6907627,,,,,,
ponta do sol,32.681067,-17.104073,,,,,,
brzeg dolny,51.2672298,16.7075883,,,,,,
tasiilaq,65.6152573,-37.6378149,,,,,,
nizhneyansk,71.440445,136.130646,,,,,,
dudinka,69.406067,86.175072,,,,,,
antofagasta,-23.6463741,-70.3980033,,,,,,
attawapiskat,52.9244075,-82.4270112,,,,,,
kirakira,-10.4568963,161.9201736,,,,,,
pevek,69.7028171,170.2746851,,,,,,
santa cruz,36.9743626,-122.0294673,,,,,,
yulara,-25.2410108,130.9869405,,,,,,
chipinge,-20.188929,32.619425,,,,,,
asyut,27.2065132,31.550028223412646,,,,,,
lincoln,53.2293545,-0.5404819,,,,,,
okhotsk,59.3643921,143.2410816,,,,,,
mayor pablo lagerenza,-25.2891648,-57.6507403,,,,,,
pangai,-19.8054603,-174.3489373,,,,,,
santa maria do para,-1.3455478,-47.5782981,,,,,,
inta,66.039749,60.13158,,,,,,
kapoeta,4.7691017,33.58997,,,,,,
kota kinabalu,5.9780066,116.0728988,,,,,,
la ronge,55.1005283,-105.2900485,,,,,,
adre,13.4664563,22.1977187,,,,,,
naantali,60.4688687,22.0291149,,,,,,
puerto ayora,-0.7471674,-90.3134198,,,,,,
kazuno,40.2157445,140.7882193,,,,,,
dinagat,9.9612337,125.5918632,,,,,,
dzhebariki-khaya,62.218327,135.859451,,,,,,
thompson,55.743347,-97.863464,,,,,,
hobart,-42.8825088,147.3281233,,,,,,
salalah,17.0174945,54.1010923,,,,,,
port blair,11.6645348,92.7390448,,,,,,
umm lajj,16.560472,43.88996,,,,,,
senmonorom,12.4568561,107.1865184,,,,,,
tucuman,-26.5643582,-64.882397,,,,,,
faya,13.6777637,-6.1585269,,,,,,
illoqqortoormiut,70.4850588,-21.9641992,,,,,,
new norfolk,-42.7801998,147.0615332,,,,,,
kuusamo,65.9645637,29.1883283,,,,,,
norman wells,65.282401,-126.832725,,,,,,
kozmodemyansk,56.3324346,46.5462855,,,,,,
tessalit,20.2019542,1.0124531,,,,,,
mareeba,-16.991558,145.4226637,,,,,,
siderno,38.2761626,16.2981599,,,,,,
ribeira grande,37.8225227,-25.5194914,,,,,,
comodoro rivadavia,-45.8632024,-67.4752615,,,,,,
samusu,-13.9974088,-171.4288872,,,,,,
hovd,63.8342257,10.6978429,,,,,,
deputatskiy,54.8408485,61.1269918,,,,,,
buin,-33.7319741,-70.7419619,,,,,,
dingle,-30.465,152.8177778,,,,,,
komsomolskiy,43.98266,46.6950001,,,,,,
jalu,29.0331149,21.5482209,,,,,,
carnarvon,-24.8826131,113.6576486,,,,,,
hailar,49.2388564,120.0228716,,,,,,
nichinan,31.6019221,131.3788769,,,,,,
lima,40.7399785,-84.105006,,,,,,
victoria,-4.6232085,55.452359,,,,,,
usinsk,65.995731,57.5571267,,,,,,
inhambane,-23.865961,35.384363,,,,,,
quzhou,28.973887,118.8540924,,,,,,
baragua,10.5832137,-69.9484037,,,,,,
faridpur,28.2083265,79.5375964,,,,,,
luderitz,52.50177465,11.728958600823365,,,,,,
arona,45.7598366,8.5604081,,,,,,
severo-kurilsk,50.6683048,156.1154399,,,,,,
belushya guba,71.5376984,52.3427343,,,,,,
tilichiki,60.429134,166.057053,,,,,,
provideniya,64.4237364,-173.2273726,,,,,,
tura,47.60935,19.5949442,,,,,,
kolodeznyy,46.8321845,29.5830848,,,,,,
yellowknife,62.4540807,-114.377385,,,,,,
qaqortoq,60.718202,-46.0385214,,,,,,
grindavik,63.844239,-22.4317498,,,,,,
mahebourg,-20.4111041,57.7060616,,,,,,
college,3.0593547,34.1375023,,,,,,
arawa,-6.2262566,155.5651139,,,,,,
mar del plata,-37.9977225,-57.5482703,,,,,,
port macquarie,-31.4299499,152.9103525,,,,,,
pascagoula,30.3646795,-88.5585995,,,,,,
varzelandia,-15.701667,-44.027223,,,,,,
chara,56.9076194,118.2672919,,,,,,
cidreira,-30.1657063,-50.218331,,,,,,
afmadu,0.5148092,42.0730434,,,,,,
barrow,52.7271293,-0.6830084,,,,,,
ituni,5.5324605,-58.2572523,,,,,,
ilka,51.66851,108.7972936,,,,,,
boke,11.3406898,-13.9440724,,,,,,
san ramon,37.7648021,-121.9544387,,,,,,
bluff,-23.5799973,149.0661092,,,,,,
korla,41.7238743,86.173541,,,,,,
kismayo,-0.3602433,42.5409025,,,,,,
berlevag,70.79904505,29.150528646532546,,,,,,
lagoa,37.13258125,-8.45505094811731,,,,,,
lazaro cardenas,15.1736223,-92.552146,,,,,,
vilyuysk,63.754082,121.626549,,,,,,
malanje,-9.535332,16.9364293,,,,,,
aswan,24.091071,32.897306,,,,,,
worthing,50.8115402,-0.3699697,,,,,,
cooma,-36.23563,149.1264221,,,,,,
mingshui,47.1747821,125.8813422,,,,,,
verkhoturye,58.861702,60.809338,,,,,,
makakilo city,21.3469444,-158.0858333,,,,,,
perth,-31.9558964,115.8605801,,,,,,
hervey bay,-25.2985784,152.8535216,,,,,,
raga,11.80501475,10.530188496056002,,,,,,
camacha,32.679439,-16.8448679,,,,,,
hun,29.1245649,15.9402605,,,,,,
longyearbyen,78.2231558,15.6463656,,,,,,
nemuro,43.3301154,145.5829068,,,,,,
beringovskiy,63.0255136,179.2936001,,,,,,
sitka,57.0524973,-135.337612,,,,,,
menongue,-14.6610713,17.6820336,,,,,,
puerto escondido,15.8693331,-97.0726428,,,,,,
xining,36.617331,101.7761976,,,,,,
tiksi,71.636604,128.868546,,,,,,
daru,-9.069901,143.210029,,,,,,
hamilton,43.2560802,-79.8728583,,,,,,
kazalinsk,45.76255,62.101181,,,,,,
port hardy,50.7244402,-127.4976081,,,,,,
selishche,64.9541338,46.3493458,,,,,,
isangel,-19.5410863,169.2810885,,,,,,
mys shmidta,68.8928813,-179.4130958,,,,,,
caravelas,-17.7296514,-39.2660082,,,,,,
leh,34.1642029,77.5848133,,,,,,
karratha,-20.7370067,116.8478592,,,,,,
roma,-26.5674,148.78751,,,,,,
poum,-20.2316547,164.029894,,,,,,
taksimo,56.355515,114.837982,,,,,,
yumen,40.2916528,97.0448526,,,,,,
saleaula,-13.467068950000002,-172.3367182107027,,,,,,
mafra,38.9369782,-9.3282374,,,,,,
iqaluit,63.74944,-68.521857,,,,,,
san carlos,37.504936,-122.261823,,,,,,
chumikan,54.7171986,135.3172842,,,,,,
bogen,48.9082826,12.7185426,,,,,,
narsaq,60.9127453,-46.0452698,,,,,,
aden,38.6549116,-77.5369054,,,,,,
miraflores,-16.3501806,-71.46244000723544,,,,,,
west bay,45.7050561,-61.1711417,,,,,,
kidal,19.802089000000002,0.7253124568557916,,,,,,
urumqi,43.8244074,87.6139038,,,,,,
tabou,4.4194457,-7.3603666,,,,,,
vaitupu,-7.4769458,178.6807836433052,,,,,,
pacific grove,36.6211149,-121.917794,,,,,,
wajir,1.7504651,40.0594959,,,,,,
bathsheba,13.2129361,-59.5227245,,,,,,
constitucion,-35.3318306,-72.4118998,,,,,,
chuy,-33.6937948,-53.4561114,,,,,,
tahe,31.3515157,108.0725183,,,,,,
smithers,54.7792074,-127.1760991,,,,,,
gwanda,12.5772,8.568,,,,,,
verkh-usugli,52.6864,115.18607,,,,,,
lalin,49.6416935,22.1086686,,,,,,
rawson,-37.9568186,146.3996667,,,,,,
am timan,11.0396368,20.2826429,,,,,,
pozo colorado,10.6657426,-63.3206517,,,,,,
avera,33.1940354,-82.5270728,,,,,,
el faiyum,29.3074076,30.8399651,,,,,,
colares,-0.936423,-48.280254,,,,,,
tabiauea,0.92746,173.02772,,,,,,
airai,7.3599342,134.5601154,,,,,,
lavrentiya,65.5837793,-171.0058116,,,,,,
lar,-28.8166236,24.991639,,,,,,
pisco,-13.7099813,-76.2029793,,,,,,
naze,5.4519997,7.0566745,,,,,,
enid,36.3967623,-97.8791341,,,,,,
chitral,35.850889,71.7901897,,,,,,
rangoon,-30.490037700000002,151.69248564999998,,,,,,
